iter	Passed	Remaining
348	625	1167
349	627	1164
350	628	1161
351	629	1159
352	630	1156
353	632	1154
354	633	1151
355	635	1148
356	636	1146
357	637	1144
358	639	1142
359	641	1139
360	642	1137
361	643	1134
362	644	1131
363	646	1129
364	647	1126
365	648	1123
366	650	1121
367	651	1118
368	652	1116
369	654	1113
370	655	1111
371	656	1108
372	658	1106
373	659	1103
374	661	1101
375	662	1099
376	675	1116
377	677	1115
378	680	1115
379	682	1113
380	684	1112
381	687	1112
382	689	1110
383	692	1110
384	694	1109
385	696	1107
386	699	1108
387	701	1107
388	703	1105
389	706	1104
390	708	1102
391	710	1101
392	712	1099
393	714	1098
394	716	1096
395	718	1095
396	719	1093
397	721	1091
398	724	1091
399	725	1088
400	727	1086
401	729	1084
402	730	1082
403	732	1080
404	733	1078
405	735	1075
406	736	1073
407	738	1071
408	740	1069
409	741	1067
410	743	1065
411	744	1063
412	746	1061
413	748	1058
414	750	1057
415	752	1055
416	754	1054
417	756	1052
418	757	1051
419	760	1049
420	763	1050
421	765	1048
422	767	1046
423	769	1045
424	771	1043
425	778	1048
426	780	1046
427	782	1045
428	783	1043
429	785	1041
430	787	1040
431	790	1038
432	792	1037
433	793	1035
434	795	1032
435	796	1030
436	797	1028
437	799	1025
438	800	1023
439	802	1021
440	803	1019
441	805	1016
442	807	1014
443	808	1012
444	810	1011
445	812	1009
446	817	1010
447	819	1009
448	822	1009
449	825	1008
450	827	1007
451	829	1005
452	831	1004
453	833	1002
454	835	1001
455	838	1000
456	840	998
457	842	997
458	844	995
459	847	994
460	849	993
461	851	991
462	853	990
463	855	988
464	857	986
465	859	985
466	861	983
467	864	982
468	866	980
469	869	980
470	871	978
471	873	977
472	875	975
473	877	973
474	879	971
475	881	970
476	883	968
477	885	967
478	887	965
479	889	963
480	891	961
481	893	960
482	895	958
483	897	956
484	899	955
485	901	953
486	903	952
487	905	950
488	907	948
489	909	947
490	911	945
491	914	943
492	916	942
493	918	940
494	920	938
495	922	936
496	924	935
497	925	933
498	927	931
499	930	930
500	932	928
501	933	926
502	936	924
503	938	924
504	942	924
505	944	922
506	946	920
507	948	918
508	950	917
509	952	915
510	955	914
511	959	914
512	961	913
513	964	911
514	966	909
515	968	908
516	970	906
517	972	904
518	974	902
519	976	901
520	980	901
521	983	900
522	985	898
523	987	896
524	989	894
525	990	892
526	991	890
527	993	887
528	994	885
529	996	883
530	997	881
531	999	879
532	1001	877
533	1003	875
534	1004	873
535	1006	871
536	1007	869
537	1009	866
538	1010	864
539	1012	862
540	1013	860
541	1015	857
542	1016	855
543	1017	853
544	1019	850
545	1020	848
546	1021	846
547	1023	843
548	1024	841
549	1025	839
550	1026	836
551	1028	834
552	1029	832
553	1030	829
554	1032	827
555	1033	825
556	1034	822
557	1036	820
558	1037	818
559	1038	816
560	1040	813
561	1041	811
562	1042	809
563	1044	807
564	1045	805
565	1047	802
566	1048	800
567	1049	798
568	1051	796
569	1052	794
570	1054	792
571	1055	790
572	1057	787
573	1058	785
574	1060	783
575	1061	781
576	1063	779
577	1064	777
578	1066	775
579	1067	772
580	1068	770
581	1070	768
582	1071	766
583	1073	764
584	1074	762
585	1076	760
586	1077	758
587	1079	756
588	1080	753
589	1081	751
590	1083	749
591	1084	747
592	1085	745
593	1087	743
594	1088	741
595	1090	738
596	1091	736
597	1092	734
598	1094	732
599	1095	730
600	1097	728
601	1098	726
602	1099	724
603	1101	722
604	1102	720
605	1104	718
606	1105	716
607	1107	714
608	1108	711
609	1110	709
610	1111	707
611	1113	705
612	1115	703
613	1116	701
614	1117	699
615	1119	697
616	1120	695
617	1121	693
618	1123	691
619	1124	689
620	1125	687
621	1127	685
622	1128	682
623	1130	680
624	1131	678
625	1132	676
626	1133	674
627	1135	672
628	1136	670
629	1137	668
630	1139	666
631	1140	663
632	1141	661
633	1142	659
634	1144	657
635	1145	655
636	1146	653
637	1148	651
638	1149	649
639	1150	647
640	1151	645
641	1153	643
642	1154	640
643	1155	638
644	1157	637
645	1158	635
646	1160	633
647	1161	630
648	1162	628
649	1164	626
650	1165	624
651	1166	622
652	1167	620
653	1169	618
654	1170	616
655	1171	614
656	1173	612
657	1174	610
658	1175	608
659	1177	606
660	1178	604
661	1179	602
662	1180	600
663	1182	598
664	1183	596
665	1184	594
666	1186	592
667	1187	590
668	1189	588
669	1190	586
670	1191	584
671	1193	582
672	1194	580
673	1195	578
674	1197	576
675	1198	574
676	1199	572
677	1201	570
678	1203	568
679	1204	566
680	1205	564
681	1207	562
682	1208	560
683	1209	558
684	1210	556
685	1212	554
686	1213	552
687	1215	551
688	1216	549
689	1217	547
690	1219	545
691	1220	543
692	1221	541
693	1223	539
694	1224	537
695	1226	535
696	1227	533
697	1229	531
698	1230	530
699	1232	528
700	1233	526
701	1234	524
702	1236	522
703	1237	520
704	1239	518
705	1239	516
706	1241	514
707	1242	512
708	1243	510
709	1245	508
710	1246	506
711	1248	504
712	1249	502
713	1250	500
714	1252	499
715	1253	497
716	1254	495
717	1256	493
718	1257	491
719	1258	489
720	1259	487
721	1261	485
722	1262	483
723	1264	481
724	1265	480
725	1267	478
726	1268	476
727	1269	474
728	1271	472
729	1272	470
730	1273	468
731	1274	466
732	1276	464
733	1277	463
734	1278	461
735	1280	459
736	1281	457
737	1282	455
738	1284	453
739	1285	451
740	1286	449
741	1288	447
742	1289	446
743	1291	444
744	1292	442
745	1293	440
746	1295	438
747	1296	436
748	1298	435
749	1299	433
750	1300	431
751	1302	429
752	1303	427
753	1305	425
754	1306	423
755	1307	422
756	1309	420
757	1310	418
758	1311	416
759	1313	414
760	1314	412
761	1316	411
762	1317	409
763	1319	407
764	1320	405
765	1322	403
766	1323	402
767	1325	400
768	1326	398
769	1328	396
770	1329	394
771	1330	393
772	1332	391
773	1333	389
774	1335	387
775	1336	385
776	1337	383
777	1339	382
778	1340	380
779	1341	378
780	1343	376
781	1344	374
782	1346	373
783	1347	371
784	1349	369
785	1350	367
786	1351	365
787	1353	364
788	1354	362
789	1356	360
790	1357	358
791	1359	356
792	1360	355
793	1361	353
794	1363	351
795	1364	349
796	1366	347
797	1367	346
798	1369	344
799	1370	342
800	1371	340
801	1373	338
802	1374	337
803	1376	335
804	1377	333
805	1378	331
806	1380	330
807	1381	328
808	1383	326
809	1384	324
810	1385	322
811	1387	321
812	1388	319
813	1389	317
814	1391	315
815	1392	314
816	1394	312
817	1395	310
818	1396	308
819	1397	306
820	1399	305
821	1400	303
822	1402	301
823	1403	299
824	1404	298
825	1406	296
826	1407	294
827	1409	292
828	1410	290
829	1411	289
830	1413	287
831	1414	285
832	1415	283
833	1417	282
834	1419	280
835	1420	278
836	1422	276
837	1423	275
838	1424	273
839	1426	271
840	1427	269
841	1429	268
842	1430	266
843	1431	264
844	1433	262
845	1435	261
846	1436	259
847	1438	257
848	1439	256
849	1441	254
850	1442	252
851	1443	250
852	1445	249
853	1446	247
854	1448	245
855	1449	243
856	1451	242
857	1452	240
858	1453	238
859	1455	236
860	1456	235
861	1457	233
862	1459	231
863	1460	229
864	1461	228
865	1463	226
866	1464	224
867	1465	222
868	1467	221
869	1468	219
870	1469	217
871	1470	215
872	1472	214
873	1473	212
874	1474	210
875	1476	208
876	1477	207
877	1479	205
878	1480	203
879	1481	202
880	1482	200
881	1484	198
882	1485	196
883	1486	195
884	1488	193
885	1489	191
886	1491	189
887	1492	188
888	1493	186
889	1495	184
890	1496	183
891	1497	181
892	1499	179
893	1500	177
894	1501	176
895	1503	174
896	1504	172
897	1505	171
898	1506	169
899	1508	167
900	1509	165
901	1510	164
902	1512	162
903	1513	160
904	1514	159
905	1516	157
906	1517	155
907	1519	153
908	1520	152
909	1521	150
910	1523	148
911	1524	147
912	1525	145
913	1527	143
914	1528	141
915	1529	140
916	1530	138
917	1532	136
918	1533	135
919	1534	133
920	1536	131
921	1537	130
922	1539	128
923	1540	126
924	1541	125
925	1543	123
926	1544	121
927	1545	119
928	1547	118
929	1548	116
930	1549	114
931	1550	113
932	1552	111
933	1553	109
934	1554	108
935	1555	106
936	1557	104
937	1558	103
938	1559	101
939	1561	99
940	1562	97
941	1563	96
942	1565	94
943	1566	92
944	1568	91
945	1569	89
946	1571	87
947	1572	86
948	1573	84
949	1575	82
950	1576	81
951	1577	79
952	1578	77
953	1580	76
954	1581	74
955	1582	72
956	1584	71
957	1585	69
958	1586	67
959	1587	66
960	1589	64
961	1590	62
962	1591	61
963	1593	59
964	1594	57
965	1595	56
966	1597	54
967	1598	52
968	1599	51
969	1601	49
970	1602	47
971	1603	46
972	1604	44
973	1606	42
974	1607	41
975	1608	39
976	1610	37
977	1611	36
978	1612	34
979	1613	32
980	1615	31
981	1616	29
982	1617	27
983	1619	26
984	1620	24
985	1621	23
986	1623	21
987	1624	19
988	1625	18
989	1627	16
990	1628	14
991	1629	13
992	1631	11
993	1632	9
994	1633	8
995	1635	6
996	1636	4
997	1637	3
998	1639	1
999	1640	0
